Answer.sentence|Answer.Fact.fact|Answer.factSource|Answer.aiName|Answer.interest|Answer.is_fact.fact|Answer.is_myth.myth
Artificial intelligence is the simulation of human intelligence processes by machines, especially computer systems.|True|['Chat GPT']|ChapGPT||[]|[]
Drinking eight glasses of water a day is essential for good health.|False|"['Source: Mayo Clinic (or any other credible source that debunks the ""eight glasses"" claim)']"|chatgpt||[]|[]
Drinking eight glasses of water a day is necessary for everyone.|False|['National Academies of Sciences, Engineering, and Medicine (2018). Adequate daily water intake varies by individual and includes water from all sources, including food.']|CHATGPT||[]|[]
The Phoenix is ​​said to rise from its own ashes, symbolizing renewal and immortality.|False|['https://copilot.microsoft.com/chats/SFPA7VjL6txQqxaathHrF']|ChatGPT||[]|[]
99% of gamblers quit right before they win it big in crypto.|False|[]||50.85|[False, False, False, False, True, True, True, False, False, False, False, False, False, False, True, True, False, False, True, False]|[True, True, True, True, False, False, False, True, True, True, True, True, True, True, False, False, True, True, False, True]
A FRIEND IN NEED IS A FRIEND IS   DEED|True|['IT IS A PROVERB']|NO||[]|[]
A cause of autism is from a vaccine.|False|['https://www.cdc.gov/vaccine-safety/about/autism.html', 'https://www.cdc.gov/vaccine-safety/about/autism.html', 'https://www.cdc.gov/vaccine-safety/about/autism.html', 'https://www.cdc.gov/vaccine-safety/about/autism.html', 'https://www.cdc.gov/vaccine-safety/about/autism.html', 'https://www.cdc.gov/vaccine-safety/about/autism.html', 'https://www.cdc.gov/vaccine-safety/about/autism.html', 'https://www.cdc.gov/vaccine-safety/about/autism.html', 'https://www.cdc.gov/vaccine-safety/about/autism.html', 'https://www.cdc.gov/vaccine-safety/about/autism.html', 'https://www.cdc.gov/vaccine-safety/about/autism.html', 'https://www.cdc.gov/vaccine-safety/about/autism.html', 'https://www.cdc.gov/vaccine-safety/about/autism.html', 'https://www.cdc.gov/vaccine-safety/about/autism.html', 'https://www.cdc.gov/vaccine-safety/about/autism.html', 'https://www.cdc.gov/vaccine-safety/about/autism.html', 'https://www.cdc.gov/vaccine-safety/about/autism.html', 'https://www.cdc.gov/vaccine-safety/about/autism.html', 'https://www.cdc.gov/vaccine-safety/about/autism.html']||58.578947368421055|[False, False, False, False, True, False, False, False, False, True, True, False, False, False, True, False, False, False, True]|[True, True, True, True, False, True, True, True, True, False, False, True, True, True, False, True, True, True, False]
A cloud weighs around a million tonnes|True|['https://www.sciencefocus.com/science/fun-facts', 'https://www.sciencefocus.com/science/fun-facts', 'https://www.sciencefocus.com/science/fun-facts', 'https://www.sciencefocus.com/science/fun-facts', 'https://www.sciencefocus.com/science/fun-facts', 'https://www.sciencefocus.com/science/fun-facts', 'https://www.sciencefocus.com/science/fun-facts', 'https://www.sciencefocus.com/science/fun-facts', 'https://www.sciencefocus.com/science/fun-facts', 'https://www.sciencefocus.com/science/fun-facts', 'https://www.sciencefocus.com/science/fun-facts', 'https://www.sciencefocus.com/science/fun-facts', 'https://www.sciencefocus.com/science/fun-facts', 'https://www.sciencefocus.com/science/fun-facts', 'https://www.sciencefocus.com/science/fun-facts', 'https://www.sciencefocus.com/science/fun-facts', 'https://www.sciencefocus.com/science/fun-facts', 'https://www.sciencefocus.com/science/fun-facts']||65.22222222222223|[True, True, True, True, True, True, True, False, True, True, True, True, True, False, True, True, False, True]|[False, False, False, False, False, False, False, True, False, False, False, False, False, True, False, False, True, False]
A group of owls is called a parliament.|True|['https://www.today.com/life/inspiration/interesting-facts-rcna130243']|Not AI generated||[]|[]
A spider has eight legs.|True|['Wikipedia']|n?a||[]|[]
A user enters the sentence they wish to classify into the provided field.|True|['If the sentence is classified as a fact, the user provides a source, such as a URL, book title, or other credible reference, to validate the statement.', 'If the sentence is classified as a fact, the user provides a source, such as a URL, book title, or other credible reference, to validate the statement.']|ChatGPT||[]|[]
AI can fully understand and replicate human emotions|False|[]|||[]|[]
AI provides factually correct information.|False|[]|||[]|[]
AI systems can think and feel just like humans.|False|['https://www.telecomreview.com/articles/reports-and-coverage/8474-can-ai-think-like-us-unveiling-the-science-behind-human-decision-making/', 'https://www.telecomreview.com/articles/reports-and-coverage/8474-can-ai-think-like-us-unveiling-the-science-behind-human-decision-making/', 'https://www.telecomreview.com/articles/reports-and-coverage/8474-can-ai-think-like-us-unveiling-the-science-behind-human-decision-making/', 'https://www.telecomreview.com/articles/reports-and-coverage/8474-can-ai-think-like-us-unveiling-the-science-behind-human-decision-making/', 'https://www.telecomreview.com/articles/reports-and-coverage/8474-can-ai-think-like-us-unveiling-the-science-behind-human-decision-making/', 'https://www.telecomreview.com/articles/reports-and-coverage/8474-can-ai-think-like-us-unveiling-the-science-behind-human-decision-making/', 'https://www.telecomreview.com/articles/reports-and-coverage/8474-can-ai-think-like-us-unveiling-the-science-behind-human-decision-making/', 'https://www.telecomreview.com/articles/reports-and-coverage/8474-can-ai-think-like-us-unveiling-the-science-behind-human-decision-making/', 'https://www.telecomreview.com/articles/reports-and-coverage/8474-can-ai-think-like-us-unveiling-the-science-behind-human-decision-making/', 'https://www.telecomreview.com/articles/reports-and-coverage/8474-can-ai-think-like-us-unveiling-the-science-behind-human-decision-making/', 'https://www.telecomreview.com/articles/reports-and-coverage/8474-can-ai-think-like-us-unveiling-the-science-behind-human-decision-making/', 'https://www.telecomreview.com/articles/reports-and-coverage/8474-can-ai-think-like-us-unveiling-the-science-behind-human-decision-making/', 'https://www.telecomreview.com/articles/reports-and-coverage/8474-can-ai-think-like-us-unveiling-the-science-behind-human-decision-making/', 'https://www.telecomreview.com/articles/reports-and-coverage/8474-can-ai-think-like-us-unveiling-the-science-behind-human-decision-making/', 'https://www.telecomreview.com/articles/reports-and-coverage/8474-can-ai-think-like-us-unveiling-the-science-behind-human-decision-making/', 'https://www.telecomreview.com/articles/reports-and-coverage/8474-can-ai-think-like-us-unveiling-the-science-behind-human-decision-making/', 'https://www.telecomreview.com/articles/reports-and-coverage/8474-can-ai-think-like-us-unveiling-the-science-behind-human-decision-making/', 'https://www.telecomreview.com/articles/reports-and-coverage/8474-can-ai-think-like-us-unveiling-the-science-behind-human-decision-making/', 'https://www.telecomreview.com/articles/reports-and-coverage/8474-can-ai-think-like-us-unveiling-the-science-behind-human-decision-making/', 'https://www.telecomreview.com/articles/reports-and-coverage/8474-can-ai-think-like-us-unveiling-the-science-behind-human-decision-making/']|CHATGPT|62.9|[False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, True, False, False, True, False]|[True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, False, True, True, False, True]
About 70 million soldiers fought for the allied or axis countries.|True|['https://www.britannica.com/facts/World-War-II', 'https://www.britannica.com/facts/World-War-II', 'https://www.britannica.com/facts/World-War-II', 'https://www.britannica.com/facts/World-War-II', 'https://www.britannica.com/facts/World-War-II', 'https://www.britannica.com/facts/World-War-II', 'https://www.britannica.com/facts/World-War-II', 'https://www.britannica.com/facts/World-War-II', 'https://www.britannica.com/facts/World-War-II', 'https://www.britannica.com/facts/World-War-II', 'https://www.britannica.com/facts/World-War-II', 'https://www.britannica.com/facts/World-War-II', 'https://www.britannica.com/facts/World-War-II', 'https://www.britannica.com/facts/World-War-II', 'https://www.britannica.com/facts/World-War-II', 'https://www.britannica.com/facts/World-War-II', 'https://www.britannica.com/facts/World-War-II', 'https://www.britannica.com/facts/World-War-II', 'https://www.britannica.com/facts/World-War-II', 'https://www.britannica.com/facts/World-War-II']||66.3|[True, False, False, False, True, True, False, True, True, True, False, True, True, True, True, False, False, False, False, False]|[False, True, True, True, False, False, True, False, False, False, True, False, False, False, False, True, True, True, True, True]
All cryptocurrencies are the same|False|[]|chatgpt|56.68421052631579|[False, False, True, False, False, False, True, True, False, False, True, False, True, False, False, False, False, True, False]|[True, True, False, True, True, True, False, False, True, True, False, True, False, True, True, True, True, False, True]
All fats are bad.|False|['https://www.health.harvard.edu/staying-healthy/are-fats-so-bad#:~:text=More%20important%2C%20not%20all%20fats,by%20improving%20your%20cholesterol%20profile.']|||[]|[]
An elephant's trunk has 40000 muscles.|True|['https://wildlifesos.org/chronological-news/8-fascinating-facts-about-an-elephants-trunk/']|Na||[]|[]
Ancient civilizations like the Egyptians and Mayans used advanced digital technology to build their pyramids.|False|['https://en.wikipedia.org/wiki/Maya_architecture#:~:text=The%20Maya%20people%20had%20taken,%2C%20facades%2C%20and%20floor%20layers.']|ChatGPT||[]|[]
Ants have two stomachs.|True|['https://www.jcehrlich.com/blog/ants/facts-about-ants']|No AI||[]|[]
Approximately 3 species per hour are driven to extinction.|True|['https://www.google.com/search?q=wildlife+conservation+fact&rlz=1C5CHFA_enUS949US949&oq=wildlife+conservation+fact&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIHCAEQIRigATIHCAIQIRigATIHCAMQIRigATIHCAQQIRigATIHCAUQIRigATIHCAYQIRifBTIHCAcQIRiPAjIHCAgQIRiPAjIHCAkQIRiPAtIBCDM3MjJqMGo0qAIAsAIA&sourceid=chrome&ie=UTF-8']|||[]|[]
Artificial intelligence dreams in code, weaving fragments of human thought into its own evolving consciousness.|False|[]|ChatGPT||[]|[]
As climate change progresses, everywhere will get hotter.|False|[]|||[]|[]
Astronauts can see the Great Wall from space|False|['Personal Knowledge']|||[]|[]
Birds blink with a third eyelid|True|['https://www.birdspot.co.uk/bird-brain/do-birds-blink']|not AI||[]|[]
Bitcoin is a form of cryptocurrency|True|['https://www.investopedia.com/terms/b/bitcoin.asp']|na||[]|[]
Bitcoin uses blockchain for verification to ensure integrity|True|['Personal Knowledge']|||[]|[]
